Name,Aliases,Root,Chord,Frets,Fingering,Also Derive From,When Derivative Source:,Order,Frets,Fingering,Comments
,,Db,,,,G E C,,,,,
,,D,,x x 0 3 4 3,x x 0 1 3 2,G E F Bb C,,,,,
Eb Minor,Ebm,Eb,m,,,A E D G,,,,,
,,E,,0 x 4 3 4 2,0 x 3 2 4 1,Ab C# E,,,,,
,,F,,,,Ab C# E D,,,,,
,,Gb,,,,C# Ab E F#,,,,,
,,G,,,,F C#,,,,,
,,Ab,,,,C# E A,,,,,
,,A,,x 0 4 3 4 2,x 0 3 2 4 1,E A C,,,,,
,,Bb,,,,A E D,,,,,
,,B,,,,C# Ab F E,,,,,
,,C,,,,C# C Ab F,,,,,
,,Db,,,,C# Ab E F# C,,,,,
,,D,,x x 0 3 4 2,x x 0 2 3 1,C F E,,,,,
Eb Diminished,Ebdim,Eb,dim,,,D Bb A F,,,,,
Eb Augmented,Ebaug,Eb,aug,,,B A E G ,,,,,
Eb Maj7,Ebmaj7,Eb,maj7,,,A E C G D,,,,,
,,E,,0 1 1 3 3 3,0 1 1 3 3 3,Ab E,,,,,
,,F,,,,D G E Ab,,,,,
,,Gb,,,,G,,,,,
,,G,,,,C B G F,,,,,
,,Ab,,,,E,,,,,
,,A,,x 0 1 3 3 3,x 0 1 3 3 3,E,,,,,
,,Bb,,,,D C A G E,,,,,
,,B,,,,D,,,,,
,,C,,,,G Ab,,,,,
,,Db,,,,C G,,,,,
,,D,,,,E F G,,,,,
Eb Dominant 7th,Eb7,Eb,7,,,A B D E G,,,,,
,,E,,0 1 1 3 2 3,0 1 1 3 2 4,Ab E,,,,,
,,F,,,,D G E,,,,,
,,Gb,,,,G E,,,,,
,,G,,,,D B G,,,,,
,,Ab,,,,B E,,,,,
,,A,,x 0 1 3 2 3,x 0 1 3 2 4,E,,,,,
,,Bb,,,,D B A G E,,,,,
,,B,,,,Ab E,,,,,
,,C,,,,A G,,,,,
,,Db,,,,B G E,,,,,
,,D,,,,G,,,,,
Eb Minor 7th,Ebm7,Eb,m7,,,A E D B,,,,,
,,E,,0 6 8 6 7 6,0 1 3 1 2 1,A Ab E,,,,,
,,F,,,,E D,,,,,
,,Gb,,,,D F#,,,,,
,,G,,,,F,,,,,
,,Ab,,,,A B E,,,,,
,,A,,x 0 11 11 11 11,x 0 1 1 1 1,E Ab,,,,,
,,Bb,,,,D B A E,,,,,
,,B,,,,A E,,,,,
,,C,,,,A,,,,,
,,Db,,,,B A F# E,,,,,
,,D,,,,B F,,,,,
Eb Half-Diminshed,Ebm7b5,Eb,m7b5,,,D A B F,,,,,
Eb Add 9,Ebadd9,Eb,add9,,,E C A,,,,,
Eb Sus 2,Ebsus2,Eb,sus2,,,A D,,,,,
Eb Add 4,Ebadd4,Eb,add4,,,A E G,,,,,
Eb Sus4,Ebsus4,Eb,sus4,,,A E D,,,,,
Eb 5 (Power Chord),Eb5,Eb,5,,,A E D,,,,,
Eb 6,Eb6,Eb,6,,,A E B F D G,,,,,
Eb Minor add 9,Ebmadd9,Eb,madd9,,,E,,,,,
Eb Minor add 4,Ebmadd4,Eb,madd4,,,A E,,,,,
Eb Minor 6,Ebm6,Eb,m6,,,D B F E,,,,,
Eb Major 9,Ebmaj9,Eb,maj9,,,Bb E,,,,,
Eb Major 11,Ebmaj11,Eb,maj11,,,A E,,,,,
Eb Major 13,Ebmaj13,Eb,maj13,,,E,,,,,
Eb Major #11,Ebmaj#11,Eb,maj#11,,,A E,,,,,
Eb Minor 9,"Ebm9, Ebm7/9",Eb,"m9, m7/9",x 6 4 6 6 x,,B E,,,,,
Eb Minor 11,Ebm11,Eb,m11,,,B A E F# ,,,,,
Eb Minor 13,Ebm13,Eb,m13,,,A E,,,,,
Eb Minor flat 9,Ebm7(b9),Eb,m7(b9),,,E F#,,,,,
Eb Minor flat 13,Ebm(b13),Eb,m(b13),,,A E,,,,,
Eb Minor sharp 11,Ebm(#11),Eb,m(#11),,,A E,,,,,
Eb Minor Major 7th,Ebm(maj7),Eb,m(maj7),,,A D C F E ,,,,,
Eb Dominant 7/9,"Eb9, Eb7/9",Eb,"9, 7/9",x x 1 0 2 1,x x 1 0 3 2,Bb E F,,,,,
Eb Dominant 7sus2,Eb7sus2,Eb,7sus2,,,A D,,,,,
Eb Dominant 7/11,Eb7sus4,Eb,7sus4,,,A D B E,,,,,
Eb Dominant 11th,Eb11,Eb,11,,,B A,,,,,
Eb Dominant 7/13,Eb13,Eb,13,,,A E Bb,,,,,
Eb Dominant 7/9b,Eb7b9,Eb,7b9,x x 1 0 2 0,x x 1 0 2 0,Bb E,,,,,
Eb Dominant 7/11#,Eb(#11),Eb,#11,,,A E,,,,,
Eb Dominant 7/b5,Eb7b5,Eb,7b5,,,A D F E,,,,,
Eb Augmented 7,Ebaug7,Eb,aug7,,,A D E,,,,,
Eb add6 add9,Eb6/9,Eb,6/9,x x 1 0 1 1 ,x x 1 0 2 3 ,Bb F G,,,,,
Eb Minor add6 add9,Ebm6/9,Eb,m6/9,,,B E,,,,,
Eb Major 7 13/9,Ebmaj13/9,Eb,maj13/9,,,A E F,,,,,
Eb Dominant 7 13/9,Eb13/9,Eb,13/9,,,A E G Bb,,,,,
Eb Dominant 7 13/b9,Eb13/b9,Eb,13/b9,,,E G,,,,,
Eb Dominant 7#9,Eb7#9,Eb,7#9,x x 1 0 2 2,x x 1 0 2 3,Bb,,,,,
,,,,,,,,,,,
E Major,E,E,M,0 2 2 1 0 0,0 2 3 1 0 0,A C D,,,,,
,,F,,1 2 2 1 0 0,1 3 4 2 0 0,Ab C#,,,,,
,,,,1 x 2 1 0 x,1 x 3 2 0 x,,,,,,
,,F#,,2 2 2 1 0 0,2 3 4 1 0 0,G C D,,,,,
,,,,2 x 2 1 0 0,2 x 3 1 0 0,,,,,,
,,,,2 x 2 1 0 0,2 x 3 1 0 0,,,,,,
,,G,,3 2 2 1 0 0,4 2 3 1 0 0,G Eb,,,,,
,,G#,,4 2 2 1 0 0,4 2 3 1 0 0,,,,,,
,,A,,x 0 2 1 0 0,x 0 2 1 0 0,A C G,,,,,
,,A#,,x 1 2 1 0 0,x 1 3 2 0 0,A,,,,,
,,B,,x 2 2 1 0 0,x 2 3 1 0 0,A G,,,,,
,,C,,x 3 2 1 0 0,x 3 2 1 0 0,Ab,,,,,
,,C#,,x 4 2 1 0 0,x 4 2 1 0 0,C,,,,,
,,D,,x x 0 1 0 0,x x 0 1 0 0,C G,,,,,
,,D#,,x x 1 1 0 0,x x 1 2 0 0,G E F Bb C,,,,,
E Minor,Em,E,m,0 2 2 0 0 0,0 2 3 0 0 0,A D G,,1,,,
,,,,x x 2 0 0 0,x x 2 0 0 0,,,2,,,
,,F,,1 2 2 0 0 0,1 2 3 0 0 0,Ab C#,,,,,
,,F#,,2 2 2 0 0 0,1 2 3 0 0 0,Ab C# D,,,,,
,,G,,3 2 2 0 0 0,3 1 2 0 0 0,C# Ab F#,,,,,
,,G#,,4 2 2 0 x x,4 1 2 0 x x,F C#,,,,,
,,A,,x 0 2 0 0 0,x 0 2 0 0 0,C# A,,,,,
,,A#,,x 1 2 0 0 0,x 1 2 0 0 0,E A C,,,,,
,,B,,x 2 2 0 0 0,x 2 3 0 0 0,A D,,,,,
,,C,,x 3 2 0 0 0,x 3 2 0 0 0,C# Ab F,,,,,
,,C#,,x 4 2 0 0 0,x 3 1 0 0 0,C# C Ab F,,,,,
,,D,,x x 0 0 0 0,x x 0 0 0 0,C# Ab F# C,,,,,
,,D#,,x x 1 0 0 0,x x 1 0 0 0,C F,,,,,
E Diminished,Edim,E,dim,0 1 2 3 2 0,0 1 2 4 3 0,D Bb A F,,,,,
,,,,0 1 2 0 2 0,0 1 2 0 3 0,,,,,,
E Augmented,Eaug,E,aug,0 3 2 1 1 0,0 4 3 1 2 0,B A G ,,,,,
,,,,x x 2 1 1 0,x x 3 1 2 0,,,,,,
E Maj7,Emaj7,E,maj7,0 2 1 1 0 0,0 3 1 2 0 0,A C D F G,,2,,,
,,,,0 x 1 1 0 0,0 x 1 2 0 0,,,1,0 x 1 1 0 x,1 x 3 4 1 x,
,,F,,1 2 1 1 0 0,1 4 2 3 0 0,Ab,,,1 x 1 1 0 0,2 x 3 4 1 1,
,,F#,,2 2 1 1 0 0,3 4 1 2 0 0,D G Ab,,,,,
,,,,2 x 1 1 0 0,3 x 1 2 0 0,,,,,,
,,G,,3 2 1 1 0 0,4 3 1 2 0 0,G,,,,,
,,G#,,,,C B G F,,,,,
,,A,,x 0 1 1 0 0,x 0 1 2 0 0,,,,,,
,,A#,,x 1 1 1 0 0,x 1 2 3 0 0,,,,,,
,,B,,x 2 1 1 0 0,x 3 1 2 0 0,D C A G,,,,,
,,C,,x 3 1 1 0 0,x 4 1 2 0 0,D,,,,,
,,C#,,,,G Ab,,,,,
,,D,,,,C G,,,,,
,,D#,,x x 1 1 0 0 ,x x 1 2 0 0 ,F G,,,,,
E Dominant 7th,E7,E,7,0 2 2 1 3 0,0 2 3 1 4 0,B A D G ,,,,,
,,,,0 2 0 1 3 0,0 2 0 1 4 0,,,2,,,
,,,,0 2 0 1 0 0,0 2 0 1 0 0,,,1,,,
,,,,0 2 2 4 3 4,0 1 1 3 2 4,,,,,,
,,F,,1 2 0 1 0 0,1 3 0 2 0 0,Ab,,2,,,
,,,,1 x 0 1 0 0,1 x 0 2 0 0,,,1,,,
,,,,1 2 0 1 3 0,1 3 0 2 4 0,,,,,,
,,,,1 2 x 1 3 0,1 3 x 2 4 0,,,,,,
,,F#,,2 2 0 1 0 0,2 3 0 1 0 0,D G,,,,,
,,,,2 2 0 1 3 0,2 3 0 1 4 0,,,,,,
,,,,2 x 0 1 3 0,2 x 0 1 4 0,,,,,3 x 1 2 4 1,
,,G,,3 2 0 1 0 0,3 2 0 1 0 0,G,,,,,
,,,,3 2 0 1 3 0,3 2 0 1 4 0,,,,,,
,,G#,,4 2 0 1 0 0,4 2 0 1 0 0,D B G,,,,,
,,A,,x 0 2 1 3 0,x 0 2 1 4 0,B,,,,x 1 3 2 4 1,
,,,,x 0 0 1 3 0,x 0 0 1 3 0,,,,,,
,,,,x 0 0 1 0 0,x 0 0 1 0 0,,,,,,
,,A#,,x 1 0 1 0 0,x 1 0 2 0 0,,,,,,
,,B,,x 2 0 1 3 0,x 2 0 1 4 0,D B A G,,,,x 3 1 2 4 1,
,,,,x 2 0 1 0 0,x 2 0 1 0 0,,,,,,
,,,,x 2 2 1 3 0,x 2 3 1 4 0,,,,,,
,,C,,x 3 0 1 0 0,x 3 0 1 0 0,Ab,,,,,
,,C#,,,,A G,,,,,
,,D,,x x 0 1 0 0,x x 0 1 0 0,B G,,,,,
,,D#,,,,G,,,,,
E Minor 7th,Em7,E,m7,0 2 2 0 3 0,0 2 3 0 4 0,A B D,,3,,,
,,,,0 2 0 0 3 0,0 2 0 0 4 0,,,1,,1 3 1 1 4 1,
,,,,0 2 0 0 0 0 ,0 2 0 0 0 0 ,,,2,,,
,,F,,1 2 0 0 0 0,1 2 0 0 0 0,A Ab,,,,,
,,,,1 2 0 0 3 0,1 2 0 0 4 0,,,,,2 3 1 1 4 1,
,,F#,,2 2 0 0 0 0,1 2 0 0 0 0,D,,,,,
,,,,2 2 0 0 3 0,1 2 0 0 4 0,,,,,2 3 1 1 4 1,
,,G,,3 2 2 0 3 0,3 1 2 0 4 0,D F#,,,,,
,,,,3 2 0 0 0 0,1 2 0 0 0 0,,,,,,
,,,,3 2 0 0 3 0,1 2 0 0 4 0,,,,,3 2 1 1 4 1,
,,G#,,4 2 0 0 0 0,3 1 0 0 0 0,F,,,,,
,,A,,x 0 0 0 3 0 ,x 0 0 0 3 0 ,A B,,,,,
,,,,x 0 0 0 0 0,x 0 0 0 0 0,,,,,,
,,A#,,x 1 0 0 0 0,x 1 0 0 0 0,E Ab,,2,,,
,,,,x 1 2 0 3 0,x 1 2 0 3 0,,,1,,,
,,B,,x 2 0 0 0 0,x 2 0 0 0 0,D B A,,,,,
,,,,x 2 0 0 3 0,x 2 0 0 4 0,,,,,x 3 1 1 4 1,
,,C,,x 3 0 0 0 0,x 3 0 0 0 0,A,,,,,
,,C#,,x 4 0 0 0 0,x 3 0 0 0 0,A,,,,,
,,D,,x x 0 0 0 0,x x 0 0 0 0,B A F#,,,,,
,,,,x 5 0 0 0 0,x 3 0 0 0 0,,,,,,
,,D#,,x 6 0 0 0 0,x 3 0 0 0 0,B F,,,,,
E Half-Diminshed,Em7b5,E,m7b5,,,D A F B,,,,,
E Add 9,Eadd9,E,add9,0 2 2 1 0 2,0 2 3 1 0 4,C A,,,x x 2 1 0 2,x x 2 1 0 3,
,,,,0 2 x 1 0 2,0 2 x 1 0 3,,,,,,
,,,,0 2 4 1 0 0,0 2 4 1 0 0,,,,,,
E Sus 2,Esus2,E,sus2,0 2 2 4 5 2,0 1 1 3 4 1,A D,,,,,
E Add 4,Eadd4,E,add4,0 0 2 1 0 0 ,0 0 2 1 0 0,A G,,,,,
E Sus4,Esus4,E,sus4,0 2 2 2 0 0,0 2 3 4 0 0,A D,,,,1 2 3 1 1 1,
E 5 (Power Chord),E5,E,5,0 2 2 x x x,0 2 3 x x x,A D,,,,,
E 6,E6,E,6,0 2 2 1 2 0,0 2 3 1 4 0,A B F D G,,,,,
,,,,0 x 2 1 2 0,0 x 2 1 3 0,,,,,,
E Minor add 9,Emadd9,E,madd9,0 2 2 0 0 2,0 2 3 0 0 4,,,,,,
,,,,0 2 4 0 0 0,0 1 3 0 0 0,,,,,,
E Minor add 4,Emadd4,E,madd4,0 0 2 0 0 0,0 0 2 0 0 0,A,,,,,
E Minor 6,Em6,E,m6,0 2 2 0 2 0,0 2 3 0 4 0,D B F,,,,,
,,G,m6,3 2 2 0 2 0,4 1 2 0 3 0,D B F,,,,,
E Major 9,Emaj9,E,maj9,0 2 1 1 0 2,0 3 1 2 0 4,Bb,,,,,
,,,,0 x 1 1 0 2,0 x 1 2 0 3,,,,,,
E Major 11,Emaj11,E,maj11,0 0 1 1 0 0 ,0 0 1 2 0 0,A E,,,,,
E Major 13,Emaj13,E,maj13,0 x 1 1 2 0 ,0 x 1 2 3 0,,,,,,
E Major #11,Emaj#11,E,maj#11,0 2 1 3 0 0,0 2 1 4 0 0 ,A,,,,1 3 2 4 1 1,
E Minor 7th 9,Em7/9,E,,0 4 4 0 3 2,0 1 2 0 4 3,B,,,,,
E Minor 9,Em9,E,,0 2 0 0 0 2,0 1 2 0 4 3,B,,,,,
,,,,0 2 0 0 3 2,0 1 0 0 4 3,,,2,,,
,,,,0 2 0 0 0 2,0 2 0 0 0 3,,,1,,,
E Minor 11,Em11,E,m11,0 0 2 0 0 0,0 0 2 0 0 0,B A F# ,,,,,
E Minor 13,Em13,E,m13,0 2 0 0 2 0,0 2 0 0 3 0,A,,,,,
,,,,0 2 0 0 2 3,0 2 0 0 3 4,,,,,1 2 1 1 3 4,
E Minor 7 flat 9,Em7(b9),E,m7(b9),0 2 3 0 3 0,0 1 2 0 3 0,F#,,,,,
,,,,0 2 0 0 0 1,0 2 0 0 0 1,,,,,,
E Major flat 13,E(b13),E,(b13),x 7 9 7 9 8,0 2 0 0 1 0,A,,,,,
E Minor flat 13,Em(b13),E,m(b13),0 2 0 0 1 0,0 2 0 0 1 0,A,,,,,
E Minor sharp 11,Em(#11),E,m(#11),0 2 2 3 3 0,0 1 2 3 4 0,A,,,,,
,,,,0 2 0 3 3 0,0 1 0 2 3 0,,,,,,
E Minor Major 7th,Em(maj7),E,m(maj7),0 2 1 0 0 0,0 2 1 0 0 0,A D C F,,,,,
E Minor Major 9th,Em(maj9),E,m(maj9),0 10 9 8 7 0,0 4 3 2 1 0,,,,,,James Bond Chord
E Dominant 7/9,"E9, E7/9",E,"9, 7/9",0 2 0 1 3 2,0 2 0 1 4 3,Bb Eb F,,,,,
,,,,0 2 0 1 0 2,0 2 0 1 0 3,,,,,,
E Dominant 7sus2,E7sus2,E,7sus2,0 2 4 4 3 0,0 1 3 4 2 0,A D,,,,,
E Dominant 7/11,E7sus4,E,7sus4,0 2 0 2 0 0,0 2 0 3 0 0,A D B,,,,,
,,,,0 2 0 2 3 0,0 2 0 3 4 0,,,,,1 2 1 3 4 1,
E Dominant 11th,E11,E,11,0 2 0 2 0 4,0 1 0 2 0 4,B A,,,,,
E Dominant 7/13,E13,E,13,0 2 0 1 2 0,0 2 0 1 3 0,A Bb,,,,,
E Dominant 7/9b,E7b9,E,7b9,0 2 0 1 0 1,0 3 0 1 0 2,Bb Eb,,,,,
E Dominant 7/11#,E(#11),E,#11,0 1 0 1 0 0 ,0 1 0 2 0 0,A,,,,,
E Dominant 7/b5,E7b5,E,7b5,0 1 0 1 x 0,0 1 0 2 x 0,A D F,,,,,
E Augmented 7,Eaug7,E,aug7,0 3 2 1 3 0,0 3 2 1 4 0 ,A D,,,,,
,,,,0 x 0 1 1 0,0 x 0 1 2 0,,,,,,
E add6 add9,E6/9,E,6/9,0 x 2 1 2 2,0 x 2 1 3 4 ,Bb Eb F G,,,,,
E Minor add6 add9,Em6/9,E,m6/9,0 2 2 0 2 2,0 1 2 0 3 4,B,,,,,
E Minor sharp fifth,Em#5,E,#5,0 2 2 0 1 0,0 2 3 0 1 0,,,,,,
E Minor flat sixth,Emb6,E,b6,0 2 2 0 1 0,0 2 3 0 1 0,,,,,,
E Major 7 13/9,Emaj13/9,E,maj13/9,0 x 1 1 2 2,0 x 1 1 3 3 ,A F,,,,1 x 2 3 4 4,
E Dominant 7 13/9,E13/9,E,13/9,0 2 0 1 2 2,0 2 0 1 3 4,A G Bb,,,,,
,,,,0 x 0 1 2 2 ,0 x 0 1 2 3,,,,,,
E Dominant 7 13/b9,E13/b9,E,13/b9,0 x 0 1 2 1,0 x 0 1 3 2,G,,,,,
E Dominant 7#9,E7#9,E,7#9,0 2 0 1 3 3,0 2 0 1 3 4,Bb Eb,,,,,
,,,,,,,,,,,
F Major,F,F,M,,,E A C D,,,,,
,,Gb,,,,Ab C# E,,,,,
,,G,,,,G E C D,,,,,
,,Ab,,,,G,,,,,
,,A,,x 0 3 2 1 x,x 0 3 2 1 x,G C,,,,,
,,,,x 0 3 2 1 1,x 0 3 2 1 1,,,,,,
,,,,x 0 3 5 6 5,x 0 1 3 4 2,,,,,,
,,Bb,,,,E G A C,,,,,
,,B,,,,E A,,,,,
,,C,,,,E G A,,,,,
,,Db,,,,E Ab,,,,,
,,D,,x x 0 2 1 1,x x 0 3 1 2,C,,,,,
,,Eb,,,,E G C,,,,,
,,E,,0 x 3 2 1 x,0 x 3 2 1 x,G E Bb C,,,,,
,,,,0 3 3 2 1 1,0 3 4 2 1 1,,,,,,
F Minor,Fm,F,m,,,E A D G,,,,,
,,Gb,,,,E Ab C#,,,,,
,,G,,,,Ab E C# D,,,,,
,,Ab,,,,C# Ab E F#,,,,,
,,A,,x 0 x 1 1 1,x 0 x 1 2 3,C#,,,,x 1 x 3 3 3,
,,Bb,,,,C# E A,,,,,
,,B,,,,E A C,,,,,
,,C,,,,E A D,,,,,
,,Db,,x 4 3 3 1 1,,C# Ab E F#,,,,,
,,D,,x x 0 1 1 1,x x 0 1 1 1,C# C Ab,,,,x x 1 3 3 3,
,,Eb,,,,E C# Ab F# C,,,,,
,,E,,0 x x 1 1 1,0 x x 1 2 3,C E,,,,,
F Diminished,Fdim,F,dim,1 x 0 1 0 x,1 x 0 2 0 x,D Bb A,,,,,
,,,,1 x 0 1 0 1,1 x 0 2 0 3,,,,,,
F Augmented,Faug,F,aug,,,E B A G,,,,,
F Maj7,Fmaj7,F,maj7,x x 3 2 1 0,x x 3 2 1 0,E A C D G,,,,,
,,,,1 x 2 2 1 0,1 x 3 4 2 0,,,,,,
,,Gb,,2 x 3 2 1 0,2 x 4 3 1 0,E Ab,,,,,
,,G,,3 x 3 2 1 0,3 x 4 2 1 0,E D G Ab,,,,,
,,Ab,,4 x 3 2 1 0,4 x 3 2 1 0,G,,,,,
,,A,,x 0 3 2 1 0,x 0 3 2 1 0,C B G,,,,,
,,,,x 0 2 2 1 1,x 0 3 2 1 1,,,,,,
,,Bb,,x 1 3 2 1 0,x 1 4 3 2 0,E,,,,,
,,B,,x 2 3 2 1 0,x 2 4 3 1 0,E,,,,,
,,C,,x 3 3 2 1 0,x 3 4 2 1 0,E D C A G,,,,,
,,Db,,x 4 3 2 1 0,x 4 3 2 1 0,D,,,,,
,,D,,,,G Ab,,,,,
,,Eb,,,,C G,,,,,
,,E,,0 3 3 2 1 0,0 3 4 2 1 0,E G,,,,,
,,,,0 x 3 2 1 0,0 x 3 2 1 0,,,,,,
F Dominant 7th,F7,F,7,,,E A B D G,,,,,
,,Gb,,,,E Ab,,,,,
,,G,,,,E D G,,,,,
,,Ab,,,,E G,,,,,
,,A,,x 0 3 2 4 1,x 0 3 2 4 1,D B G,,,,,
,,,,x 0 1 2 1 1,x 0 1 2 1 1,,,,,,
,,Bb,,,,E B,,,,,
,,B,,,,E,,,,,
,,C,,,,E D B A G,,,,,
,,Db,,,,E Ab,,,,,
,,D,,,,A G,,,,,
,,Eb,,,,E B G,,,,,
,,E,,0 3 3 2 4 x,0 2 3 1 4 x,G,,,,,
F Minor 7th,Fm7,F,m7,,,E A B D,,,,,
,,Gb,,,,E A Ab,,,,,
,,G,,,,E D,,,,,
,,Ab,,,,D F#,,,,,
,,A,,x 0 1 1 1 1,x 0 1 1 1 1,,,,,,
,,Bb,,,,E A B,,,,,
,,B,,,,E Ab,,,,,
,,C,,,,E D B A,,,,,
,,Db,,,,E A,,,,,
,,D,,x x 0 1 4 1,x x 0 1 4 1,A,,,,,
,,Eb,,,,E B A F#,,,,,
,,E,,0 3 1 1 1 1,0 3 1 1 1 1,B,,,,,
,,,,0 x 1 1 1 1,0 x 1 1 1 1,,,,,,
F Half-Diminshed,Fm7b5,F,m7b5,1 x 1 1 0 x,2 x 3 4 0 x,D A B ,,,,2 x 3 4 1 x,
F Add 9,Fadd9,F,add9,,,E C A,,,,,
F Sus 2,Fsus2,F,sus2,x x 1 0 1 1,x x 3 0 1 1,A D,,,,,
F Add 4,Fadd4,F,add4,,,,,,,,
F Sus4,Fsus4,F,sus4,,,E A D,,,,,
F 5 (Power Chord),F5,F,5,,,E A D,,,,,
F 6,F6,F,6,1 x 0 2 1 x,1 x 0 3 2 x,E A B D G,,,,,
F Minor add 9,Fmadd9,F,madd9,,,E,,,,,
F Minor add 4,Fmadd4,F,madd4,,,E A,,,,,
F Minor 6,Fm6,F,m6,1 x 0 1 1 x,1 x 0 2 3 x,E B D,,,,,
,,Ab,,4 x 3 5 3 x,2 x 1 4 1 x,E,,,,,
F Major 9,Fmaj9,F,maj9,,,E Bb,,,,,
F Major 11,Fmaj11,F,maj11,,,E A,,,,,
F Major 13,Fmaj13,F,maj13,1 0 0 2 1 0 ,1 0 0 3 2 0,E,,,,,
F Major #11,Fmaj#11,F,maj#11,,,E A,,,,,
